Date,Price,size,collab,retail price
2019-10-23 23:22:30+00:00,1300,10.0,1,175
2019-10-30 00:29:00+00:00,1644,8.5,1,175
2019-10-30 06:54:36+00:00,1027,10.5,1,175
2019-10-31 13:42:45+00:00,1490,9.5,1,175
2019-11-01 16:43:48+00:00,991,11.0,1,175
2019-11-03 06:37:00+00:00,1690,8.0,1,175
2019-11-03 09:35:46+00:00,1669,9.0,1,175
2019-11-04 00:56:00+00:00,1232,10.0,1,175
2019-11-05 21:56:42+00:00,1054,10.5,1,175
2019-11-10 21:24:00+00:00,955,11.0,1,175
2019-11-12 03:25:36+00:00,1372,9.5,1,175
2019-11-12 12:58:48+00:00,1039,10.5,1,175
2019-11-15 00:39:28+00:00,1528,8.0,1,175
2019-11-15 02:29:30+00:00,1218,10.0,1,175
2019-11-15 23:59:45+00:00,1583,9.0,1,175
2019-11-16 05:19:54+00:00,1552,8.5,1,175
2019-11-19 04:00:54+00:00,1043,10.5,1,175
2019-11-20 02:04:12+00:00,932,11.0,1,175
2019-11-23 17:08:27+00:00,1372,9.5,1,175
2019-11-25 19:03:00+00:00,1025,10.5,1,175
2019-11-26 04:03:00+00:00,1215,10.0,1,175
2019-11-26 18:41:56+00:00,1463,8.0,1,175
2019-11-28 14:23:44+00:00,1544,9.0,1,175
2019-11-29 06:44:24+00:00,949,11.0,1,175
2019-12-02 10:05:06+00:00,999,10.5,1,175
2019-12-03 10:10:48+00:00,1568,8.5,1,175
2019-12-05 06:51:18+00:00,1394,9.5,1,175
2019-12-07 05:36:30+00:00,1217,10.0,1,175
2019-12-08 11:24:36+00:00,968,11.0,1,175
2019-12-08 12:44:24+00:00,1524,8.0,1,175
2019-12-09 01:07:12+00:00,1034,10.5,1,175
2019-12-11 04:47:43+00:00,1462,9.0,1,175
2019-12-15 16:09:18+00:00,1022,10.5,1,175
2019-12-16 20:34:09+00:00,1367,9.5,1,175
2019-12-17 16:04:48+00:00,927,11.0,1,175
2019-12-18 07:10:00+00:00,1205,10.0,1,175
2019-12-20 06:46:52+00:00,1569,8.0,1,175
2019-12-20 15:01:42+00:00,1575,8.5,1,175
2019-12-22 07:11:24+00:00,1014,10.5,1,175
2019-12-23 19:11:42+00:00,1528,9.0,1,175
2019-12-26 20:45:00+00:00,941,11.0,1,175
2019-12-28 10:17:00+00:00,1421,9.5,1,175
2019-12-28 22:13:30+00:00,1022,10.5,1,175
2019-12-29 08:43:30+00:00,1193,10.0,1,175
2020-01-01 00:49:20+00:00,1612,8.0,1,175
2020-01-04 13:15:36+00:00,1036,10.5,1,175
2020-01-05 01:25:12+00:00,958,11.0,1,175
2020-01-05 09:35:41+00:00,1492,9.0,1,175
2020-01-06 19:52:36+00:00,1587,8.5,1,175
2020-01-08 23:59:51+00:00,1360,9.5,1,175
2020-01-09 10:17:00+00:00,1176,10.0,1,175
2020-01-11 04:17:42+00:00,1021,10.5,1,175
2020-01-12 18:51:48+00:00,1574,8.0,1,175
2020-01-14 06:05:24+00:00,931,11.0,1,175
2020-01-17 19:19:48+00:00,999,10.5,1,175
2020-01-17 23:59:40+00:00,1485,9.0,1,175
2020-01-20 11:50:30+00:00,1160,10.0,1,175
2020-01-20 13:42:42+00:00,1387,9.5,1,175
2020-01-23 10:45:36+00:00,956,11.0,1,175
2020-01-24 00:43:30+00:00,1634,8.5,1,175
2020-01-24 10:21:54+00:00,1031,10.5,1,175
2020-01-24 12:54:16+00:00,1631,8.0,1,175
2020-01-30 14:23:39+00:00,1576,9.0,1,175
2020-01-31 01:24:00+00:00,1018,10.5,1,175
2020-01-31 13:24:00+00:00,1189,10.0,1,175
2020-02-01 03:25:33+00:00,1370,9.5,1,175
2020-02-01 15:25:48+00:00,970,11.0,1,175
2020-02-05 06:56:44+00:00,1622,8.0,1,175
2020-02-06 16:26:06+00:00,1006,10.5,1,175
2020-02-10 05:34:24+00:00,1523,8.5,1,175
2020-02-10 20:06:00+00:00,969,11.0,1,175
2020-02-11 14:57:30+00:00,1191,10.0,1,175
2020-02-12 04:47:38+00:00,1592,9.0,1,175
2020-02-12 17:08:24+00:00,1319,9.5,1,175
2020-02-13 07:28:12+00:00,1020,10.5,1,175
2020-02-17 00:59:12+00:00,1506,8.0,1,175
2020-02-19 22:30:18+00:00,1038,10.5,1,175
2020-02-20 00:46:12+00:00,954,11.0,1,175
2020-02-22 16:31:00+00:00,1138,10.0,1,175
2020-02-24 06:51:15+00:00,1320,9.5,1,175
2020-02-24 19:11:37+00:00,1437,9.0,1,175
2020-02-26 13:32:24+00:00,971,10.5,1,175
2020-02-27 10:25:18+00:00,1338,8.5,1,175
2020-02-28 19:01:40+00:00,1358,8.0,1,175
2020-02-29 05:26:24+00:00,935,11.0,1,175
2020-03-04 04:34:30+00:00,991,10.5,1,175
2020-03-04 18:04:30+00:00,1138,10.0,1,175
2020-03-06 20:34:06+00:00,1271,9.5,1,175
2020-03-08 09:35:36+00:00,1299,9.0,1,175
2020-03-09 10:06:36+00:00,958,11.0,1,175
2020-03-10 19:36:36+00:00,968,10.5,1,175
2020-03-11 13:04:08+00:00,1283,8.0,1,175
2020-03-15 15:16:12+00:00,1298,8.5,1,175
2020-03-15 19:38:00+00:00,1067,10.0,1,175
