Date,Price,size
2023-05-05 18:29:12+00:00,1222,10.5
2023-05-06 06:38:36+00:00,950,10.5
2023-05-06 18:48:00+00:00,950,10.5
2023-05-07 06:57:24+00:00,912,10.5
2023-05-07 19:06:48+00:00,1107,10.5
2023-05-08 07:16:12+00:00,1107,10.5
2023-05-08 19:25:36+00:00,1014,10.5
2023-05-09 07:35:00+00:00,1014,10.5
2023-05-09 19:44:24+00:00,1016,10.5
2023-05-10 07:53:48+00:00,1016,10.5
2023-05-10 20:03:12+00:00,1016,10.5
2023-05-11 08:12:36+00:00,942,10.5
2023-05-11 20:22:00+00:00,942,10.5
2023-05-12 08:31:24+00:00,918,10.5
2023-05-12 20:40:48+00:00,1023,10.5
2023-05-13 08:50:12+00:00,1106,10.5
2023-05-13 20:59:36+00:00,1037,10.5
2023-05-14 09:09:00+00:00,1037,10.5
2023-05-14 21:18:24+00:00,1037,10.5
2023-05-15 09:27:48+00:00,1140,10.5
2023-05-15 21:37:12+00:00,1140,10.5
2023-05-16 09:46:36+00:00,915,10.5
2023-05-16 21:56:00+00:00,1019,10.5
2023-05-17 10:05:24+00:00,1019,10.5
2023-05-17 22:14:48+00:00,1019,10.5
2023-05-18 10:24:12+00:00,1019,10.5
2023-05-18 22:33:36+00:00,1019,10.5
2023-05-19 10:43:00+00:00,939,10.5
2023-05-19 22:52:24+00:00,939,10.5
2023-05-20 11:01:48+00:00,914,10.5
2023-05-20 23:11:12+00:00,914,10.5
2023-05-21 11:20:36+00:00,914,10.5
2023-05-21 23:30:00+00:00,914,10.5
2023-05-22 11:39:24+00:00,914,10.5
2023-05-22 23:48:48+00:00,1028,10.5
2023-05-23 11:58:12+00:00,1145,10.5
2023-05-24 00:07:36+00:00,1145,10.5
2023-05-24 12:17:00+00:00,1145,10.5
2023-05-25 00:26:24+00:00,1000,10.5
2023-05-25 12:35:48+00:00,1000,10.5
2023-05-26 00:45:12+00:00,1000,10.5
2023-05-26 12:54:36+00:00,1000,10.5
2023-05-27 01:04:00+00:00,1000,10.5
2023-05-27 13:13:24+00:00,1079,10.5
2023-05-28 01:22:48+00:00,1001,10.5
2023-05-28 13:32:12+00:00,1054,10.5
2023-05-29 01:41:36+00:00,1054,10.5
2023-05-29 13:51:00+00:00,1054,10.5
2023-05-30 02:00:24+00:00,1054,10.5
2023-05-30 14:09:48+00:00,1054,10.5
2023-05-31 02:19:12+00:00,1054,10.5
2023-05-31 14:28:36+00:00,1054,10.5
2023-06-01 02:38:00+00:00,1054,10.5
2023-06-01 14:47:24+00:00,950,10.5
2023-06-02 02:56:48+00:00,950,10.5
