Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,46.044998,46.595001,46.040001,46.355000,44.112892,4171976
2017-10-25,46.325001,46.459999,45.875000,45.900002,43.679897,4501746
2017-10-26,45.994999,46.575001,45.799999,46.575001,44.322254,5488319
2017-10-27,46.590000,47.625000,46.490002,47.270000,44.983635,8383356
2017-10-30,47.320000,47.799999,47.305000,47.770000,45.459454,4539583
2017-10-31,47.945000,48.165001,47.705002,47.869999,45.554611,4854922
2017-11-01,48.195000,48.544998,48.139999,48.279999,45.944778,4926962
2017-11-02,48.340000,48.494999,48.009998,48.459999,46.116074,4853655
2017-11-03,48.645000,48.680000,48.095001,48.474998,46.130348,4369670
2017-11-06,48.480000,48.705002,48.320000,48.615002,46.263584,4225760
2017-11-07,48.900002,49.334999,48.884998,48.889999,46.525276,7390785
2017-11-08,48.884998,49.084999,48.720001,48.924999,46.558586,4628480
2017-11-09,48.849998,49.209999,48.419998,48.564999,46.215996,5705782
2017-11-10,48.599998,48.840000,47.875000,48.049999,45.725903,5468813
2017-11-13,48.090000,48.215000,47.165001,47.580002,45.278641,5619650
2017-11-14,47.340000,47.485001,46.665001,46.935001,44.664841,6877396
2017-11-15,46.430000,46.685001,46.070000,46.305000,44.065311,6523552
2017-11-16,46.525002,46.575001,46.070000,46.299999,44.060551,4764514
2017-11-17,46.235001,46.634998,45.955002,46.285000,44.046272,5571254
2017-11-20,46.285000,46.610001,46.160000,46.480000,44.231846,4064633
2017-11-21,46.435001,47.250000,46.369999,46.924999,44.655323,5697374
2017-11-22,47.134998,47.595001,47.035000,47.270000,44.983635,5471192
2017-11-23,47.270000,47.575001,47.080002,47.400002,45.107346,2776211
2017-11-24,47.349998,47.759998,47.235001,47.349998,45.059765,2730546
2017-11-27,47.169998,47.645000,47.014999,47.264999,44.978874,4246340
2017-11-28,47.290001,47.810001,47.290001,47.509998,45.212025,5585631
2017-11-29,47.860001,48.029999,47.240002,47.705002,45.397594,4980951
2017-11-30,47.674999,47.924999,47.404999,47.404999,45.112103,7228468
2017-12-01,47.689999,48.025002,47.035000,47.395000,45.102589,6722533
2017-12-04,47.599998,47.820000,47.259998,47.820000,45.507030,5762259
2017-12-05,47.779999,48.014999,47.435001,47.435001,45.140652,4737308
2017-12-06,47.290001,47.590000,47.095001,47.365002,45.074043,5213358
2017-12-07,47.250000,47.790001,47.250000,47.459999,45.164444,4280283
2017-12-08,47.555000,47.575001,46.875000,47.025002,44.750484,7007107
2017-12-11,47.049999,47.160000,46.865002,47.090000,44.812340,5691756
