Date,Price,size,collab,retail price
2019-11-16 00:00:00+00:00,508,10.5,1,150
2019-12-06 10:42:09+00:00,508,10.5,1,150
2019-12-26 21:24:18+00:00,509,10.5,1,150
2020-01-16 08:06:27+00:00,492,10.5,1,150
2020-02-05 18:48:36+00:00,500,10.5,1,150
2020-02-26 05:30:45+00:00,479,10.5,1,150
2020-03-17 16:12:54+00:00,459,10.5,1,150
2020-04-07 02:55:03+00:00,465,10.5,1,150
2020-04-27 13:37:12+00:00,471,10.5,1,150
2020-05-18 00:19:21+00:00,488,10.5,1,150
2020-06-07 11:01:30+00:00,504,10.5,1,150
2020-06-27 21:43:39+00:00,506,10.5,1,150
2020-07-18 08:25:48+00:00,545,10.5,1,150
2020-08-07 19:07:57+00:00,571,10.5,1,150
2020-08-28 05:50:06+00:00,565,10.5,1,150
2020-09-17 16:32:15+00:00,562,10.5,1,150
2020-10-08 03:14:24+00:00,542,10.5,1,150
2020-10-28 13:56:33+00:00,568,10.5,1,150
2020-11-18 00:38:42+00:00,559,10.5,1,150
2020-12-08 11:20:51+00:00,565,10.5,1,150
2020-12-28 22:03:00+00:00,542,10.5,1,150
2021-01-18 08:45:09+00:00,520,10.5,1,150
2021-02-07 19:27:18+00:00,502,10.5,1,150
2021-02-28 06:09:27+00:00,505,10.5,1,150
2021-03-20 16:51:36+00:00,522,10.5,1,150
2021-04-10 03:33:45+00:00,570,10.5,1,150
2021-04-30 14:15:54+00:00,586,10.5,1,150
2021-05-21 00:58:03+00:00,548,10.5,1,150
2021-06-10 11:40:12+00:00,545,10.5,1,150
2021-06-30 22:22:21+00:00,566,10.5,1,150
2021-07-21 09:04:30+00:00,543,10.5,1,150
2021-08-10 19:46:39+00:00,533,10.5,1,150
2021-08-31 06:28:48+00:00,543,10.5,1,150
2021-09-20 17:10:57+00:00,536,10.5,1,150
2021-10-11 03:53:06+00:00,537,10.5,1,150
2021-10-31 14:35:15+00:00,557,10.5,1,150
2021-11-21 01:17:24+00:00,538,10.5,1,150
2021-12-11 11:59:33+00:00,540,10.5,1,150
2021-12-31 22:41:42+00:00,534,10.5,1,150
2022-01-21 09:23:51+00:00,552,10.5,1,150
2022-02-10 20:06:00+00:00,538,10.5,1,150
2022-03-03 06:48:09+00:00,506,10.5,1,150
2022-03-23 17:30:18+00:00,508,10.5,1,150
2022-04-13 04:12:27+00:00,522,10.5,1,150
2022-05-03 14:54:36+00:00,501,10.5,1,150
2022-05-24 01:36:45+00:00,431,10.5,1,150
2022-06-13 12:18:54+00:00,468,10.5,1,150
2022-07-03 23:01:03+00:00,418,10.5,1,150
2022-07-24 09:43:12+00:00,443,10.5,1,150
2022-08-13 20:25:21+00:00,389,10.5,1,150
2022-09-03 07:07:30+00:00,403,10.5,1,150
2022-09-23 17:49:39+00:00,471,10.5,1,150
2022-10-14 04:31:48+00:00,431,10.5,1,150
2022-11-03 15:13:57+00:00,423,10.5,1,150
2022-11-24 01:56:06+00:00,438,10.5,1,150
2022-12-14 12:38:15+00:00,401,10.5,1,150
2023-01-03 23:20:24+00:00,470,10.5,1,150
2023-01-24 10:02:33+00:00,465,10.5,1,150
2023-02-13 20:44:42+00:00,421,10.5,1,150
2023-03-06 07:26:51+00:00,430,10.5,1,150
